"CustomerID","PurchaseDate","PurchaseValue"
17589,2010-07-01,27.95
13780,2011-12-02,1.56
15514,2009-12-23,7.5
14634,2010-06-16,27.78
12748,2011-11-25,5.8
16764,2011-09-28,10.15
12458,2011-09-29,16.5
15298,2010-09-29,44.7
14671,2010-06-08,22.8
14735,2011-07-29,15
17823,2010-10-14,13.65
14135,2010-03-04,50.4
14948,2011-11-08,-35.4
17921,2010-09-12,7.5
14016,2010-04-14,35.1
15808,2011-02-06,5.9
14569,2011-12-08,1.65
13213,2010-10-03,17.85
14911,2010-11-18,79.2
13971,2010-08-19,39
17969,2010-01-17,13.5
17841,2010-03-05,14.4
16710,2011-05-16,10.1
12583,2011-09-21,24.9
15024,2010-11-26,4.25
14326,2010-09-02,30.9
17865,2010-09-21,175.2
14049,2010-11-17,11.7
14031,2010-12-02,17.7
13993,2009-12-03,61.2
12928,2011-04-12,17.7
16499,2010-11-30,15
14735,2010-04-22,35.7
14769,2010-03-23,23.2
16887,2010-11-04,4.2
14417,2010-11-17,13.49
12370,2011-03-10,15
17841,2010-12-06,5.9
13157,2010-05-14,30
17860,2010-12-06,5.85
13451,2011-03-15,20.7
14667,2011-11-01,8.25
14291,2010-10-14,5.04
17609,2011-01-16,4.95
12748,2010-05-09,6.25
14227,2011-04-18,16.5
15622,2010-05-18,15
18247,2010-03-18,13.6
13451,2011-11-13,10.19
16007,2010-09-19,9.9
12877,2011-05-05,10.2
16764,2011-10-28,1.7
14911,2010-05-26,15.3
15921,2010-11-08,9.9
14606,2010-12-08,30
13098,2011-06-07,20.58
15034,2010-07-02,12.75
14077,2011-03-10,2.55
16161,2011-05-13,30.75
13694,2010-02-24,180
17659,2011-11-22,15.3
15547,2011-08-21,5.9
17576,2010-12-09,9.9
17125,2011-10-20,7.5
13357,2011-03-27,12.45
16899,2010-11-26,1.25
15039,2011-04-20,249
14648,2010-04-30,36
15727,2010-05-19,15.5
14841,2010-11-09,15.3
16115,2011-02-20,3.3
17725,2011-07-17,19.8
14096,2011-10-24,46.26
17602,2011-09-15,21.85
18118,2011-11-11,4.2
13381,2011-02-14,15
15164,2010-04-06,1.25
16205,2010-10-04,10.9
14096,2011-12-05,43.56
16841,2011-05-10,8.5
16027,2010-05-07,35.4
15674,2010-05-10,21
17501,2011-05-03,31.5
12525,2009-12-04,-19.9
15251,2011-11-30,128.88
15824,2010-09-12,45
12709,2011-09-29,10.2
17841,2011-04-21,13.55
12360,2011-10-18,15.3
14032,2011-03-09,15.54
13155,2010-08-05,11.7
14295,2011-10-30,50.4
12640,2011-11-15,37.5
12906,2011-09-22,10.2
12591,2010-10-27,13.2
17204,2011-03-21,40.56
17961,2011-09-15,5.1
16931,2011-05-01,3.75
15142,2011-10-24,16.5
16903,2010-10-20,4.2
17201,2010-02-10,10.2
13394,2010-11-11,-30.6
17017,2009-12-03,13.2
17829,2010-08-19,34.32
13232,2011-05-27,2.95
18283,2010-11-22,5.75
17100,2011-11-21,65.28
15640,2010-12-13,13.2
12949,2010-08-19,13.05
12462,2011-02-09,19.9
16016,2011-11-24,0.85
15769,2010-08-15,330
17595,2011-11-02,7.8
18100,2010-06-07,5.04
17975,2010-09-06,9.9
12942,2010-12-09,17
13928,2011-07-29,35.4
17817,2010-10-13,1.25
15311,2011-03-08,11.9
17759,2010-11-11,25.5
15523,2009-12-10,39.8
15708,2011-07-24,11.7
17735,2011-06-05,16.5
13939,2011-11-16,25.5
12851,2010-08-19,3.9
15738,2011-06-09,13.52
14592,2011-10-14,0.58
16652,2010-10-04,15
12347,2011-04-07,17
15542,2009-12-02,3.9
15563,2011-05-23,5.1
15542,2010-07-15,4.6
12985,2011-11-11,30.3
17611,2010-04-25,8.42
15275,2011-11-02,4.56
15192,2010-12-09,10.2
12748,2011-06-15,10.86
15311,2010-12-09,87.6
17655,2010-10-19,12.7
18069,2011-04-18,7.05
14911,2010-09-27,15.9
17081,2010-11-09,1.25
12720,2011-04-11,19.92
17589,2011-04-13,12.45
15311,2011-01-12,11.55
15296,2011-01-17,34.7
18118,2010-12-05,22.85
15584,2010-02-07,2.1
13047,2010-12-01,14.85
13859,2010-06-28,49.2
18069,2010-09-13,19.7
14247,2010-09-19,11.8
13004,2010-05-28,17.4
14720,2011-12-04,25.2
16531,2010-11-12,15
16624,2011-09-20,0.55
14911,2010-02-16,12.25
12867,2011-09-04,10.5
16790,2011-11-02,20.8
15026,2011-09-20,15
13988,2011-09-28,25.5
14646,2011-12-07,34
15108,2011-07-21,33.6
16236,2011-09-22,24.96
14426,2010-06-29,45.2
13969,2011-03-17,5
16843,2011-07-28,30
13357,2010-03-22,20.65
14796,2011-11-17,15
15358,2011-09-12,10.5
15885,2011-09-07,17.85
15028,2010-11-10,0.85
18102,2010-03-30,57.6
14911,2010-03-12,13.2
16004,2010-05-25,20.4
16880,2011-11-09,12.5
17920,2011-05-23,26.55
13881,2010-03-04,63.5
13880,2011-07-17,39.8
18205,2011-09-26,15
16156,2011-09-15,37.5
18060,2010-05-24,15.9
13567,2010-08-24,1.65
15159,2011-01-14,20.4
12888,2011-03-29,25.2
17850,2010-09-22,13.2
17442,2010-09-29,22.5
12471,2011-09-02,-1.45
18188,2011-02-22,30.6
15367,2010-04-06,5.04
16372,2011-11-06,1.69
16840,2010-01-26,-13.14
16628,2011-07-27,29.3
14156,2010-02-22,72
16916,2010-12-02,23.55
13201,2010-07-08,20.4
16525,2011-06-08,67.5
14044,2010-01-24,7.2
17516,2010-11-26,5.4
14461,2011-06-14,17.6
17584,2010-07-20,39.8
15544,2011-02-11,10.5
18018,2011-08-23,2.55
14808,2011-06-20,21.55
13206,2009-12-13,37.8
13569,2010-10-07,4.65
16266,2010-04-06,16.8
16984,2011-08-01,14.15
13173,2010-12-07,1.87
15615,2011-11-29,41.2
15182,2010-09-16,39
18055,2011-10-31,15
14298,2010-05-07,162.9
12427,2010-12-03,54
17191,2011-11-11,11.7
14419,2010-11-22,17.7
12748,2010-12-10,2.1
15845,2011-11-22,33
12355,2010-05-21,35.2
14844,2011-08-08,16.5
17448,2010-03-29,12.7
12705,2011-04-08,29.7
12998,2010-02-24,2.28
17512,2011-10-19,17.4
17739,2009-12-17,27
16983,2011-09-04,4.95
18136,2010-09-14,13.9
14646,2011-01-14,457.2
16904,2011-03-24,3.1
16470,2011-10-19,4.62
17841,2010-05-04,78.55
15164,2011-05-15,9.95
15379,2010-12-16,40.56
13593,2010-07-07,15.8
12359,2010-06-22,25.5
13782,2010-05-16,4.95
17841,2010-12-01,31.95
17487,2009-12-11,15.8
15422,2010-09-12,5.8
13448,2011-11-23,15.3
14140,2011-11-08,29.46
16549,2010-06-10,7.15
16129,2010-10-05,15
16224,2010-11-17,7.5
14136,2009-12-08,10.2
15674,2011-03-30,38.25
17954,2010-11-11,7.29
17231,2011-08-05,5.04
14723,2011-11-29,1.65
13001,2010-06-29,12.6
14536,2011-03-25,4.95
16416,2011-10-14,41.43
18025,2010-03-30,42.46
17841,2011-09-26,2.9
16515,2010-10-19,7.4
17068,2010-08-08,2.55
14085,2010-10-05,27
12596,2011-04-11,22.5
12637,2011-07-05,16.5
13408,2010-02-03,133.5
12562,2011-06-16,25.84
15658,2010-07-28,17.85
16283,2011-10-02,33.27
15998,2011-11-03,14.4
13476,2011-03-03,26.6
17346,2010-10-31,2.55
14051,2010-12-14,106.2
12474,2010-09-21,39.3
17019,2009-12-02,3.3
13263,2011-01-18,2.1
13478,2010-06-16,15.9
13726,2011-08-31,6.96
17591,2010-12-07,7.99
17338,2011-07-01,25.2
16126,2010-11-25,16.5
16081,2010-12-08,3.4
17841,2010-05-27,2.5
14646,2010-01-22,81.6
17841,2011-10-26,1.45
14421,2011-05-12,5.04
12714,2010-04-28,64.2
17231,2011-11-27,11.9
16684,2011-07-24,151.2
15845,2011-06-13,17.4
14200,2010-04-01,17.85
17326,2010-06-28,9.15
16221,2010-08-17,4.85
13048,2010-09-29,2.5
16412,2011-10-17,0.95
18096,2010-09-23,8.4
17032,2010-01-14,29.55
14250,2011-09-11,65.1
17841,2011-11-11,8.33
17561,2009-12-06,6.65
16208,2010-02-24,10
17952,2010-11-26,5.9
15039,2011-11-01,4.2
17734,2011-07-26,19.8
17974,2010-11-10,6.9
12840,2011-05-09,36.1
13089,2010-09-22,83.4
17084,2011-11-04,21.25
12415,2010-11-29,529.12
14653,2011-10-30,2.1
13971,2010-07-14,17.7
15260,2010-05-21,15
15834,2010-11-28,19.9
14790,2011-08-12,8.5
14817,2011-05-23,66.5
13263,2011-05-18,11.19
15570,2010-04-21,7.95
12986,2010-03-08,19.8
17841,2011-10-31,4.95
12625,2010-07-18,40.06
14173,2010-03-08,81.6
16940,2011-10-18,27.6
14639,2010-12-13,19.8
13607,2010-11-02,30.3
12921,2011-11-30,132.7
13168,2011-01-25,9.9
13596,2011-11-27,9.19
13384,2011-06-14,15.9
18283,2011-09-05,7.5
17677,2011-08-31,9.96
14194,2011-11-15,55.71
16422,2010-10-05,38.1
14096,2011-10-10,14.08
16317,2011-07-01,42.66
16245,2011-11-16,18.24
13334,2011-06-02,7.65
15841,2010-07-06,118.8
16241,2010-11-21,10.8
13637,2011-06-05,22.5
13081,2010-07-01,102.3
15031,2009-12-08,7.5
14203,2010-11-07,14.75
14288,2011-05-10,69.6
13630,2011-06-08,34.2
14890,2011-03-31,17.7
14507,2011-03-08,2.95
14911,2010-08-18,15
18065,2010-02-12,71.4
15910,2010-11-04,6.6
12712,2010-12-03,23.8
13418,2011-05-19,8.25
12709,2010-07-16,201.6
18016,2010-10-25,9.9
15574,2010-12-16,3.75
14102,2011-10-26,8.7
14286,2011-04-11,35.1
13969,2011-10-27,34.35
15984,2010-11-24,1.95
18225,2010-10-27,25.2
13647,2010-05-23,26.4
15159,2011-01-28,35.4
17576,2011-10-18,9.2
13491,2010-11-15,9.95
14156,2010-05-02,19.8
14540,2009-12-16,14.85
12517,2011-11-11,9.54
14395,2010-08-05,37.05
16357,2010-11-23,15
17214,2011-10-10,1.65
12748,2011-03-25,5.2
17888,2010-02-17,39.6
15530,2011-11-18,39.96
15998,2011-03-22,13.95
13588,2011-10-21,20.04
18257,2011-10-03,12.48
14915,2010-09-06,15
15967,2010-10-15,11.8
12425,2010-09-17,53.76
15009,2011-11-27,7.15
12822,2011-09-30,14.85
17850,2009-12-07,30.6
15505,2011-09-16,213.9
13529,2011-09-22,17.85
14738,2011-05-12,30.6
14606,2011-09-28,0.84
16519,2010-12-09,51
14911,2010-10-28,35.7
17657,2010-10-05,9.9
13838,2010-05-09,6.95
13988,2011-10-27,17.4
15194,2010-03-17,10.5
18001,2009-12-02,1.25
15249,2011-07-07,14.85
16279,2010-07-15,45.3
16910,2011-10-18,14.25
16945,2010-03-17,39
16033,2011-11-06,12.7
15321,2010-02-03,21
16686,2010-12-19,1.65
18064,2010-05-25,127.8
12627,2011-08-22,19.8
14711,2011-05-03,10.4
13327,2010-12-09,25.2
14159,2011-06-05,7.5
14474,2010-05-09,31.64
13780,2010-10-28,3.3
14277,2010-10-24,7.5
14525,2010-10-07,8.85
17706,2011-10-10,38.25
13687,2010-09-27,51
13659,2011-01-23,17.88
15806,2011-07-05,13.92
17321,2010-11-10,19.65
16029,2011-10-07,1110
15439,2010-10-11,20.4
15054,2011-11-27,2.1
13192,2011-09-05,16.6
12514,2010-03-08,32.3
16566,2011-10-14,23.4
16143,2010-02-18,25.2
15757,2010-11-18,19.9
17514,2011-08-03,11.22
16110,2011-03-22,3.8
12569,2011-06-30,18
17405,2011-12-08,4.68
17841,2009-12-11,4.95
17629,2011-10-04,30.6
15570,2011-02-10,4.95
16211,2011-09-12,47.55
17419,2010-12-07,57.6
14514,2010-09-29,30.6
17671,2011-07-05,9
14560,2010-05-23,30
14646,2010-09-01,180
13564,2010-02-28,14.75
13098,2011-05-11,21
13155,2010-12-06,1.25
17189,2011-08-25,2.9
16938,2011-06-12,8.36
14800,2011-05-01,29.12
15249,2011-05-27,15.9
14952,2011-05-17,46
15061,2009-12-01,37.8
14096,2011-11-23,36.11
13048,2011-01-16,23.2
13983,2010-12-08,25.5
16686,2011-02-07,2.95
14156,2010-05-21,35.4
16960,2011-11-01,4.16
13309,2011-10-25,10.5
17346,2011-06-14,3.3
15411,2011-09-30,25
15738,2010-01-28,26.4
12668,2010-12-19,17.7
17968,2010-12-01,2.95
17059,2011-03-24,5.95
16858,2010-12-06,93.84
12935,2010-07-23,15.3
15005,2011-05-05,1.65
16784,2010-03-28,1.65
14530,2011-11-14,2.5
13510,2011-10-25,15.6
16398,2011-07-08,88.95
14868,2011-07-01,16.5
17841,2010-02-01,12
15808,2010-03-19,8.5
17104,2010-10-12,31.2
13593,2010-03-02,2.5
13919,2010-06-17,40.2
17126,2011-07-10,1.25
13032,2010-10-03,115.5
13963,2010-07-06,14.98
15624,2011-07-27,15
15055,2009-12-16,17.85
15503,2010-12-12,6.6
14031,2010-07-21,76.32
13627,2011-05-19,10.2
15091,2011-10-03,15.3
12928,2011-10-25,15.6
12648,2010-09-28,39.7
14527,2009-12-04,7.95
18107,2010-09-23,1.95
17790,2011-05-25,5.1
12480,2010-10-08,13.5
13089,2010-12-06,71.4
17841,2011-11-13,8.33
15301,2010-09-29,13.2
17049,2011-10-17,43.15
12961,2010-11-25,5.4
17519,2011-06-19,23.4
16524,2010-09-19,5.25
14667,2011-08-04,1.65
17966,2011-06-08,21
13263,2011-07-13,2.37
17364,2011-05-06,5.9
17838,2010-12-02,7.5
16113,2011-06-09,10.9
14667,2010-09-29,30
15581,2010-07-07,14.98
16947,2011-04-18,15.6
14031,2011-06-24,41.4
15021,2011-11-13,0.19
17745,2010-08-19,6.96
17184,2010-05-19,11.8
12471,2011-01-10,-21.9
14911,2011-05-19,39.95
14096,2011-11-14,67.92
14606,2010-09-19,6.69
13787,2010-09-07,13.5
17259,2010-09-20,5.1
14555,2011-02-10,5.8
16750,2011-07-26,2.95
16325,2010-04-15,16.35
13110,2010-06-01,1.45
16591,2011-10-02,19.8
17817,2011-03-07,12.6
17965,2011-01-12,6.75
16139,2009-12-03,35.7
13738,2010-11-08,8.7
12748,2011-11-23,2.5
12838,2010-12-01,14.55
12357,2011-11-06,27.96
17365,2011-10-20,5.04
15907,2011-05-13,3.75
15671,2011-03-16,15.6
15910,2010-04-15,7.95
15998,2011-06-21,8.4
14247,2010-06-06,3.3
15704,2010-07-25,71.87
17625,2011-03-27,15.55
13050,2010-04-06,17.7
17511,2011-08-04,25.92
16549,2011-01-09,2.5
14422,2009-12-17,14.85
16873,2011-12-05,34.8
15555,2011-11-27,-1.7
14505,2011-05-10,24.55
17841,2011-02-28,2.95
16049,2011-10-28,4.99
14390,2010-10-10,1.65
15518,2011-01-25,11.8
17576,2010-11-17,31.2
14367,2011-06-08,16.5
18116,2011-10-03,2.95
15150,2010-09-09,19.8
17969,2010-06-13,-2.95
17145,2010-07-15,19.8
17871,2010-05-10,16.8
13564,2010-06-25,10.95
16415,2010-05-05,2.5
17209,2010-02-28,7.65
14446,2011-04-07,4.89
14096,2011-09-21,40.46
14121,2011-11-10,16.5
14422,2010-06-30,10.2
15826,2011-10-14,15
15581,2010-06-30,13.98
18237,2011-07-28,20.28
17841,2010-03-18,4.6
17049,2011-12-07,16.5
17481,2011-09-07,17.4
17511,2011-09-21,152.64
17735,2011-01-26,15
14071,2011-12-06,8.25
15768,2010-05-27,4.2
14608,2009-12-10,165.6
14088,2011-11-23,41.25
12963,2011-12-01,15.3
15021,2011-09-14,2.1
16098,2011-09-13,20.8
12714,2010-09-09,33.9
15436,2011-04-19,4.05
17841,2011-06-27,0.85
15967,2010-02-08,4.25
13081,2010-10-19,30
18116,2010-12-23,2.95
16719,2010-12-06,4.25
13069,2010-10-15,1.49
14965,2011-09-04,4.68
16549,2010-04-18,3.55
14685,2010-03-25,2.1
14667,2010-04-07,1.65
18283,2011-06-23,2.1
14277,2011-11-24,16.25
17509,2011-10-07,42.6
13139,2010-09-28,83.4
13691,2010-11-08,3.75
14502,2011-01-30,1.65
15194,2011-06-22,19.8
16725,2009-12-13,11.75
15866,2011-08-30,4.25
15640,2011-12-05,79.44
15005,2010-12-15,6.6
12583,2010-07-07,17.4
14698,2011-10-19,33.75
15594,2011-11-24,10.2
13725,2011-10-21,17
14626,2011-08-09,56.6
15615,2011-05-10,17.7
15968,2010-11-16,10.42
13610,2011-10-16,2.08
14669,2009-12-02,40.7
12928,2010-11-26,15
16809,2010-07-01,11.7
14505,2011-01-06,1.25
15129,2010-08-12,17
13557,2010-01-05,18.24
14299,2011-08-24,25.08
16600,2010-11-30,27.04
14088,2011-01-21,114.7
15159,2011-08-19,84.5
17377,2010-02-01,2.95
14659,2011-09-22,6.3
18036,2010-07-19,2.1
12607,2011-10-12,-32.7
13089,2011-12-01,39.6
17802,2011-09-18,15.88
13798,2010-08-05,165
16839,2010-02-11,91.32
13121,2011-03-15,9.2
17675,2010-10-29,30
13081,2011-05-06,53.04
15022,2011-11-28,9.15
14401,2011-08-03,35.4
13654,2011-10-27,15
15493,2010-02-23,4.47
17596,2011-10-07,0.39
17841,2011-07-31,3.35
15920,2011-07-08,1.7
13488,2011-11-22,77.4
14911,2010-10-28,30.6
14546,2009-12-06,60.4
17412,2010-12-16,19.8
15145,2011-04-26,15
15012,2010-12-01,8.05
17841,2011-10-19,6.75
15218,2010-11-15,21.5
12721,2010-11-19,17
16089,2010-11-18,2.95
15039,2010-12-06,75.3
15856,2010-11-04,6.6
16242,2010-10-28,9.9
12428,2011-03-01,12.75
16713,2011-08-16,7.5
15355,2011-10-17,17.85
17346,2010-04-28,3.35
12862,2010-08-01,4.2
12982,2011-04-11,29.1
14156,2010-03-03,165
13317,2010-02-17,27.5
13077,2010-09-02,3.3
16200,2010-05-04,-13.5
16527,2011-09-19,35.4
16258,2010-06-27,127
15856,2010-11-12,26.7
15622,2010-04-22,19.8
15005,2010-06-16,10
13571,2011-11-01,4.2
15311,2010-08-04,3.75
14611,2010-09-22,17.4
12748,2010-12-05,12.85
16805,2009-12-14,6.2
16922,2010-05-16,10
12748,2011-11-04,2.55
17508,2009-12-07,17.7
17377,2010-07-14,19.2
14911,2010-03-03,14.75
14040,2011-05-08,5.85
13004,2011-06-24,24.66
14893,2011-11-28,20.8
16549,2011-10-10,0.85
16085,2010-03-31,9.7
17920,2009-12-06,8.5
17677,2010-09-03,17.85
13668,2010-03-21,105
13543,2010-03-15,5.9
12407,2011-04-18,13.2
16342,2011-07-17,17.7
16549,2010-11-07,15.75
14695,2010-07-08,7.56
12732,2011-06-13,13.52
14646,2010-04-01,165
16374,2011-03-22,3.75
16919,2010-12-14,17.8
14505,2010-06-27,8.4
14505,2009-12-09,11.25
13999,2010-11-04,10
14156,2010-08-18,266.4
16072,2010-06-08,32.45
12514,2011-03-17,22.5
18069,2011-11-13,2.95
13862,2011-06-05,14.75
15544,2010-03-03,45
12418,2010-10-22,19.75
14487,2010-12-06,4.95
13448,2009-12-06,25.5
13598,2010-05-09,5.2
15861,2011-11-27,12.56
16023,2011-05-31,3.75
14646,2010-11-03,612
13001,2010-09-07,35.1
15057,2011-01-28,90
15628,2010-08-24,29.7
15640,2011-08-07,24
12472,2010-11-08,45.9
12676,2010-08-13,13.2
16746,2011-12-05,5.04
16224,2011-04-04,9.95
13694,2010-01-04,15
13894,2011-11-16,14.85
16442,2011-04-26,2.5
14224,2011-05-08,3.25
17284,2011-01-07,17.58
14481,2011-06-28,15.6
14988,2010-04-16,2.1
13722,2010-10-15,50.4
14440,2011-01-27,53.55
14112,2010-08-19,19.5
14740,2010-09-28,15
17841,2011-01-04,4.25
18145,2010-08-11,13.2
12921,2011-10-24,24.9
13001,2009-12-03,20
14050,2011-08-25,17
17921,2010-11-21,3.9
14710,2010-06-17,4.2
14733,2011-11-23,14.85
17725,2011-08-19,15
13660,2010-11-04,4.95
15023,2011-03-08,16.35
15347,2010-09-28,10.2
13381,2011-09-11,15.6
12748,2010-10-07,1.7
13336,2011-09-23,17.7
17921,2011-10-06,4.2
13971,2011-10-11,10.4
14002,2011-07-28,23.4
13137,2010-09-19,10.95
13756,2010-10-14,50.4
13426,2011-06-10,81
12872,2010-12-09,2.1
13266,2011-05-05,28.52
14527,2010-04-29,-9.95
13985,2011-06-08,20.8
16401,2011-01-16,19.4
18069,2011-06-12,15.5
14970,2011-07-25,67.5
17107,2010-08-15,73.45
16279,2010-08-10,19.8
14648,2009-12-10,7.5
12564,2011-03-23,19.8
14693,2010-07-02,10.9
17692,2011-02-07,15.3
17448,2010-03-17,15.3
15027,2010-11-04,51.84
16102,2011-09-02,55.8
17841,2009-12-02,5.9
17596,2010-03-22,-8.25
14159,2011-06-23,5.6
12415,2011-08-18,914.4
17663,2011-04-19,19.9
17287,2009-12-13,20.25
16792,2010-11-21,0.55
13592,2011-03-20,13.52
14911,2010-11-15,23.6
15426,2010-05-02,4.75
16054,2011-07-17,8.25
13755,2011-10-07,1.25
17377,2011-11-16,14.56
13065,2010-11-12,15.3
13013,2011-04-05,39.6
13468,2010-05-05,17.7
18043,2011-05-17,0.42
17398,2011-05-13,13.5
12705,2010-10-29,47.58
12388,2010-09-20,15
13047,2011-10-14,12.48
13501,2010-08-10,20.4
16348,2011-06-01,7.5
13694,2011-06-16,244.8
17550,2010-02-07,10.89
17141,2010-10-17,11.34
13081,2011-11-04,14.5
13408,2011-08-03,20.4
12418,2010-05-12,17.85
16940,2010-09-15,30
13439,2011-03-29,5
13588,2011-03-29,15.8
17090,2010-11-29,35.4
15246,2011-04-15,17.7
16170,2010-07-28,12.6
17213,2010-12-16,-9.9
13999,2010-02-26,7.8
17180,2010-03-15,11.25
17232,2011-11-25,10.5
14406,2011-08-12,30.6
16938,2010-05-04,10.5
17931,2010-04-16,15
16261,2010-11-18,13.95
12415,2011-11-15,145
15535,2010-10-31,12.75
15708,2011-10-30,18.24
14107,2011-05-03,39.6
15379,2011-01-06,21
15622,2011-10-27,22.5
12890,2011-11-15,5.7
17774,2010-03-16,22.85
16558,2010-12-08,10.2
12709,2010-01-26,20.4
16422,2011-02-07,76.32
17364,2011-11-11,52.28
12748,2010-12-16,11.9
13162,2011-01-11,-20.4
13001,2011-05-06,102
13089,2011-11-08,60
16979,2011-11-22,15.9
14159,2011-07-13,1.74
16049,2011-09-25,0.55
14903,2011-04-07,4.95
18225,2010-05-13,1.95
13211,2010-07-16,20.3
17608,2010-09-16,1.7
17530,2011-05-17,2.55
16928,2011-08-11,2.5
17211,2009-12-20,3.75
17850,2010-09-22,20.28
15222,2010-07-27,39.6
